condition,t,rt_corr_pdf
4.0,1.092,0.20624001301080128
4.0,1.094,0.20449949169733364
4.0,1.096,0.20277293203267954
4.0,1.098,0.20106022773736168
4.0,1.1,0.19936127329883555
4.0,1.102,0.19767596396625645
4.0,1.104,0.19600419574528147
4.0,1.106,0.19434586539290474
4.0,1.108,0.1927008704123235
4.0,1.11,0.19106910904783805
4.0,1.112,0.1894504802797835
4.0,1.114,0.18784488381949443
4.0,1.116,0.18625222010430179
4.0,1.118,0.1846723902925608
4.0,1.12,0.18310529625871086
4.0,1.122,0.18155084058836707
4.0,1.124,0.18000892657344383
4.0,1.1260000000000001,0.17847945820730862
4.0,1.1280000000000001,0.17696234017996706
4.0,1.1300000000000001,0.17545747787327967
4.0,1.1320000000000001,0.17396477735620844
4.0,1.1340000000000001,0.17248414538009477
4.0,1.1360000000000001,0.17101548937396616
4.0,1.1380000000000001,0.16955871743987455
4.0,1.1400000000000001,0.16811373834826507
4.0,1.1420000000000001,0.16668046153337368
4.0,1.1440000000000001,0.16525879708865399
4.0,1.1460000000000001,0.16384865576223476
4.0,1.1480000000000001,0.1624499489524073
4.0,1.1500000000000001,0.16106258870313958
4.0,1.1520000000000001,0.1596864876996219
4.0,1.154,0.1583215592638404
4.0,1.156,0.15696771735017867
4.0,1.158,0.15562487654104884
4.0,1.16,0.15429295204255128
4.0,1.162,0.15297185968016141
4.0,1.164,0.15166151589444526
4.0,1.166,0.15036183773680253
4.0,1.168,0.14907274286523742
4.0,1.17,0.1477941495401578
4.0,1.172,0.1465259766202009
4.0,1.174,0.145268143558086
4.0,1.176,0.14402057039649552
4.0,1.178,0.14278317776398147
4.0,1.18,0.1415558868708993
4.0,1.182,0.1403386195053694
4.0,1.184,0.13913129802926277
4.0,1.186,0.13793384537421435
4.0,1.188,0.13674618503766345
4.0,1.19,0.13556824107891838
4.0,1.192,0.13439993811524806
4.0,1.194,0.13324120131799805
4.0,1.196,0.1320919564087324
4.0,1.198,0.13095212965540287
4.0,1.2,0.12982164786854108
4.0,1.202,0.12870043839747655
4.0,1.204,0.1275884291265788
4.0,1.206,0.12648554847152524
4.0,1.208,0.12539172537559426
4.0,1.21,0.12430688930598058
4.0,1.212,0.12323097025013707
4.0,1.214,0.12216389871213922
4.0,1.216,0.12110560570907393
4.0,1.218,0.12005602276745352
4.0,1.22,0.11901508191965167
4.0,1.222,0.11798271570036374
4.0,1.224,0.11695885714309052
4.0,1.226,0.11594343977664467
4.0,1.228,0.11493639762168131
4.0,1.23,0.11393766518725142
4.0,1.232,0.11294717746737674
4.0,1.234,0.11196486993764902
4.0,1.236,0.11099067855185125
4.0,1.238,0.11002453973860146
4.0,1.24,0.10906639039801796
4.0,1.242,0.10811616789840783
4.0,1.244,0.10717381007297762
4.0,1.246,0.10623925521656478
4.0,1.248,0.10531244208239131
4.0,1.25,0.1043933098788393
4.0,1.252,0.10348179826624805
4.0,1.254,0.10257784735373154
4.0,1.256,0.1016813976960188
4.0,1.258,0.10079239029031395
4.0,1.26,0.09991076657317734
4.0,1.262,0.09903646841742847
4.0,1.264,0.09816943812906835
4.0,1.266,0.09730961844422319
4.0,1.268,0.09645695252610842
4.0,1.27,0.09561138396201327
4.0,1.272,0.09477285676030492
4.0,1.274,0.09394131534745244
4.0,1.276,0.09311670456507183
4.0,1.278,0.09229896966698999
4.0,1.28,0.0914880563163287
4.0,1.282,0.09068391058260793
4.0,1.284,0.08988647893886866
4.0,1.286,0.08909570825881497
4.0,1.288,0.08831154581397546
4.0,1.29,0.0875339392708838
4.0,1.292,0.08676283668827747
4.0,1.294,0.08599818651431629
4.0,1.296,0.08523993758381929
4.0,1.298,0.08448803911552015
4.0,1.3,0.08374244070934082
4.0,1.302,0.08300309234368383
4.0,1.304,0.08226994437274257
4.0,1.306,0.08154294752383022
4.0,1.308,0.08082205289472642
4.0,1.31,0.08010721195104108
4.0,1.312,0.07939837652359708
4.0,1.314,0.07869549880582973
4.0,1.316,0.07799853135120438
4.0,1.318,0.07730742707065179
4.0,1.32,0.0766221392300197
4.0,1.322,0.07594262144754188
4.0,1.324,0.07526882769132498
4.0,1.326,0.07460071227685248
4.0,1.328,0.07393822986450468
4.0,1.33,0.0732813354570951
4.0,1.332,0.07262998439742523
4.0,1.334,0.07198413236585438
4.0,1.336,0.07134373537788678
4.0,1.338,0.07070874978177434
4.0,1.34,0.07007913225613639
4.0,1.342,0.06945483980759486
4.0,1.344,0.06883582976842606
4.0,1.346,0.06822205979422849
4.0,1.348,0.06761348786160533
4.0,1.35,0.06701007226586382
4.0,1.352,0.06641177161873041
4.0,1.354,0.06581854484608046
4.0,1.356,0.06523035118568396
4.0,1.358,0.06464715018496656
4.0,1.36,0.06406890169878537
4.0,1.362,0.06349556588722081
4.0,1.364,0.06292710321338275
4.0,1.366,0.06236347444123177
4.0,1.368,0.061804640633414974
4.0,1.37,0.06125056314911702
4.0,1.372,0.06070120364192571
4.0,1.374,0.06015652405771213
4.0,1.3760000000000001,0.05961648663252494
4.0,1.3780000000000001,0.05908105389049906
4.0,1.3800000000000001,0.058550188641779057
4.0,1.3820000000000001,0.05802385398045654
4.0,1.3840000000000001,0.05750201328252156
4.0,1.3860000000000001,0.056984630203827706
4.0,1.3880000000000001,0.05647166867807137
4.0,1.3900000000000001,0.055963092914785156
4.0,1.3920000000000001,0.055458867397344826
4.0,1.3940000000000001,0.0549589568809892
4.0,1.3960000000000001,0.05446332639085461
4.0,1.3980000000000001,0.0539719412200222
4.0,1.4000000000000001,0.053484766927578954
4.0,1.4020000000000001,0.053001769336691686
4.0,1.4040000000000001,0.052522914532694275
4.0,1.4060000000000001,0.05204816886118811
4.0,1.408,0.05157749892615571
4.0,1.41,0.051110871588087047
4.0,1.412,0.05064825396211873
4.0,1.414,0.05018961341618616
4.0,1.416,0.049734917569188054
4.0,1.418,0.04928413428916394
4.0,1.42,0.048837231691484066
4.0,1.422,0.048394178137051456
4.0,1.424,0.047954942230516606
4.0,1.426,0.04751949281850459
4.0,1.428,0.04708779898785421
4.0,1.43,0.046659830063869104
4.0,1.432,0.04623555560858094
4.0,1.434,0.045814945419024776
4.0,1.436,0.04539796952552641
4.0,1.438,0.044984598190001036
4.0,1.44,0.04457480190426408
4.0,1.442,0.04416855138835349
4.0,1.444,0.043765817588863665
4.0,1.446,0.043366571677290855
4.0,1.448,0.0429707850483899
4.0,1.45,0.04257842931854252
4.0,1.452,0.04218947632413671
4.0,1.454,0.041803898119957446
4.0,1.456,0.04142166697758837
4.0,1.458,0.04104275538382487
4.0,1.46,0.04066713603909767
4.0,1.462,0.04029478185590752
4.0,1.464,0.039925665957271
4.0,1.466,0.039559761675176594
4.0,1.468,0.03919704254905195
4.0,1.47,0.03883748232424146
4.0,1.472,0.038481054950494364
4.0,1.474,0.03812773458046367
4.0,1.476,0.03777749556821504
4.0,1.478,0.037430312467746335
4.0,1.48,0.03708616003151751
4.0,1.482,0.03674501320899029
4.0,1.484,0.036406847145178514
4.0,1.486,0.03607163717920817
4.0,1.488,0.035739358842887696
4.0,1.49,0.03540998785928809
4.0,1.492,0.03508350014133276
4.0,1.494,0.03475987179039771
4.0,1.496,0.03443907909492082
4.0,1.498,0.03412109852902115
4.0,1.5,0.0338059067511279
4.0,1.502,0.03349348060261899
4.0,1.504,0.0331837971064688
4.0,1.506,0.03287683346590548
4.0,1.508,0.03257256706307793
4.0,1.51,0.032270975457731686
4.0,1.512,0.03197203638589442
4.0,1.514,0.03167572775857022
4.0,1.516,0.03138202766044311
4.0,1.518,0.031090914348589935
4.0,1.52,0.03080236625120203
4.0,1.522,0.03051636196631575
4.0,1.524,0.03023288026055188
4.0,1.526,0.02995190006786408
4.0,1.528,0.02967340048829607
4.0,1.53,0.02939736078674732
4.0,1.532,0.029123760391747376
4.0,1.534,0.02885257889423907
4.0,1.536,0.028583796046370062
4.0,1.538,0.028317391760292923
4.0,1.54,0.028053346106973524
4.0,1.542,0.027791639315007978
4.0,1.544,0.027532251769447763
4.0,1.546,0.02727516401063313
4.0,1.548,0.027020356733034753
4.0,1.55,0.02676781078410343
4.0,1.552,0.026517507163127965
4.0,1.554,0.02626942702010108
4.0,1.556,0.026023551654593278
4.0,1.558,0.025779862514634714
4.0,1.56,0.025538341195604726
4.0,1.562,0.025298969439129432
4.0,1.564,0.025061729131987117
4.0,1.566,0.024826602305021084
4.0,1.568,0.02459357113206041
4.0,1.57,0.02436261792884817
4.0,1.572,0.024133725151977363
4.0,1.574,0.023906875397834388
4.0,1.576,0.0236820514015498
4.0,1.578,0.023459236035956448
4.0,1.58,0.023238412310555265
4.0,1.582,0.02301956337048827
4.0,1.584,0.022802672495518653
4.0,1.586,0.022587723099018242
4.0,1.588,0.0223746987269621
4.0,1.59,0.022163583056930444
4.0,1.592,0.02195435989711729
4.0,1.594,0.02174701318534631
4.0,1.596,0.021541526988093702
4.0,1.598,0.02133788549951789
4.0,1.6,0.02113607304049621
4.0,1.602,0.020936074057668494
4.0,1.604,0.02073787312248724
4.0,1.606,0.020541454930274674
4.0,1.608,0.020346804299286564
4.0,1.61,0.02015390616978249
4.0,1.612,0.01996274560310305
4.0,1.614,0.019773307780753292
4.0,1.616,0.01958557800349285
4.0,1.618,0.019399541690432665
4.0,1.62,0.01921518437813799
4.0,1.622,0.019032491719737723
4.0,1.624,0.018851449484040283
4.0,1.6260000000000001,0.01867204355465569
4.0,1.6280000000000001,0.01849425992912393
4.0,1.6300000000000001,0.018318084718049646
4.0,1.6320000000000001,0.01814350414424279
4.0,1.6340000000000001,0.01797050454186553
4.0,1.6360000000000001,0.01779907235558539
4.0,1.6380000000000001,0.01762919413973424
4.0,1.6400000000000001,0.017460856557473467
4.0,1.6420000000000001,0.017294046379964966
4.0,1.6440000000000001,0.017128750485548162
4.0,1.6460000000000001,0.01696495585892298
4.0,1.6480000000000001,0.01680264959033859
4.0,1.6500000000000001,0.01664181887478797
4.0,1.6520000000000001,0.016482451011208262
4.0,1.6540000000000001,0.01632453340168692
4.0,1.6560000000000001,0.01616805355067349
4.0,1.6580000000000001,0.01601299906419709
4.0,1.6600000000000001,0.015859357649089415
4.0,1.6620000000000001,0.015707117112213488
4.0,1.6640000000000001,0.015556265359697867
4.0,1.666,0.015406790396176392
4.0,1.668,0.015258680324033356
4.0,1.67,0.015111923342654144
4.0,1.672,0.014966507747681301
4.0,1.674,0.01482242193027589
4.0,1.676,0.014679654376384237
4.0,1.678,0.01453819366600993
4.0,1.68,0.014398028472491067
4.0,1.682,0.014259147561782821
4.0,1.684,0.014121539791745012
4.0,1.686,0.013985194111434989
4.0,1.688,0.013850099560405525
4.0,1.69,0.013716245268007748
4.0,1.692,0.013583620452699277
4.0,1.694,0.013452214421357288
4.0,1.696,0.0133220165685965
4.0,1.698,0.013193016376092055
4.0,1.7,0.013065203411907542
4.0,1.702,0.012938567329827651
4.0,1.704,0.01281309786869579
4.0,1.706,0.012688784851756459
4.0,1.708,0.012565618186002379
4.0,1.71,0.012443587861526474
4.0,1.712,0.01232268395087847
4.0,1.714,0.012202896608426146
4.0,1.716,0.012084216069721229
4.0,1.718,0.011966632650870068
4.0,1.72,0.011850136747908687
4.0,1.722,0.011734718836182463
4.0,1.724,0.011620369469730331
4.0,1.726,0.011507079280673464
4.0,1.728,0.011394838978608431
4.0,1.73,0.011283639350004792
4.0,1.732,0.011173471257607018
4.0,1.734,0.011064325639840783
4.0,1.736,0.010956193510223759
4.0,1.738,0.010849065956780474
4.0,1.74,0.010742934141461631
4.0,1.742,0.010637789299567593
4.0,1.744,0.010533622739176041
4.0,1.746,0.010430425840573921
4.0,1.748,0.010328190055693551
4.0,1.75,0.010226906907552801
4.0,1.752,0.01012656798969934
4.0,1.754,0.010027164965659032
4.0,1.756,0.009928689568388376
4.0,1.758,0.009831133599730967
4.0,1.76,0.0097344889298779
4.0,1.762,0.009638747496832134
4.0,1.764,0.009543901305876887
4.0,1.766,0.009449942429047866
4.0,1.768,0.009356863004609368
4.0,1.77,0.00926465523653426
4.0,1.772,0.009173311393987802
4.0,1.774,0.009082823810815278
4.0,1.776,0.008993184885033348
4.0,1.778,0.008904387078325209
4.0,1.78,0.008816422915539442
4.0,1.782,0.008729284984192566
4.0,1.784,0.008642965933975292
4.0,1.786,0.008557458476262431
4.0,1.788,0.00847275538362631
4.0,1.79,0.008388849489353924
4.0,1.792,0.008305733686967628
4.0,1.794,0.008223400929749332
4.0,1.796,0.008141844230268234
4.0,1.798,0.008061056659912056
4.0,1.8,0.007981031348421782
4.0,1.802,0.007901761483429819
4.0,1.804,0.00782324031000155
4.0,1.806,0.007745461130180347
4.0,1.808,0.007668417302535936
4.0,1.81,0.00759210224171613
4.0,1.812,0.007516509418001879
4.0,1.814,0.007441632356865639
4.0,1.816,0.007367464638533016
4.0,1.818,0.007293999897547629
4.0,1.82,0.007221231822339309
4.0,1.822,0.007149154154795489
4.0,1.824,0.007077760689835722
4.0,1.826,0.007007045274989393
